3,C,kernel,gamma,degree,accuracy
274,1.0,rbf,auto,2,0.8823529411764706
275,1.0,rbf,auto,3,0.8823529411764706
277,1.0,rbf,auto,5,0.8823529411764706
276,1.0,rbf,auto,4,0.8823529411764706
143,0.01,poly,scale,4,0.8823529411764706
140,0.01,poly,scale,1,0.8705882352941177
144,0.01,poly,scale,5,0.8705882352941177
145,0.01,poly,scale,6,0.8705882352941177
146,0.01,poly,scale,7,0.8705882352941177
154,0.01,rbf,scale,1,0.8705882352941177
155,0.01,rbf,scale,2,0.8705882352941177
156,0.01,rbf,scale,3,0.8705882352941177
157,0.01,rbf,scale,4,0.8705882352941177
158,0.01,rbf,scale,5,0.8705882352941177
159,0.01,rbf,scale,6,0.8705882352941177
160,0.01,rbf,scale,7,0.8705882352941177
187,0.1,sigmoid,scale,6,0.8352941176470589
185,0.1,sigmoid,scale,4,0.8352941176470589
184,0.1,sigmoid,scale,3,0.8352941176470589
183,0.1,sigmoid,scale,2,0.8352941176470589
182,0.1,sigmoid,scale,1,0.8352941176470589
188,0.1,sigmoid,scale,7,0.8352941176470589
186,0.1,sigmoid,scale,5,0.8352941176470589
87,0.001,poly,scale,4,0.8235294117647058
242,1.0,sigmoid,scale,5,0.8
244,1.0,sigmoid,scale,7,0.8
241,1.0,sigmoid,scale,4,0.8
240,1.0,sigmoid,scale,3,0.8
239,1.0,sigmoid,scale,2,0.8
238,1.0,sigmoid,scale,1,0.8
243,1.0,sigmoid,scale,6,0.8
294,10.0,sigmoid,scale,1,0.788235294117647
298,10.0,sigmoid,scale,5,0.788235294117647
297,10.0,sigmoid,scale,4,0.788235294117647
296,10.0,sigmoid,scale,3,0.788235294117647
356,100.0,sigmoid,scale,7,0.788235294117647
355,100.0,sigmoid,scale,6,0.788235294117647
351,100.0,sigmoid,scale,2,0.788235294117647
295,10.0,sigmoid,scale,2,0.788235294117647
350,100.0,sigmoid,scale,1,0.788235294117647
352,100.0,sigmoid,scale,3,0.788235294117647
353,100.0,sigmoid,scale,4,0.788235294117647
354,100.0,sigmoid,scale,5,0.788235294117647
300,10.0,sigmoid,scale,7,0.788235294117647
299,10.0,sigmoid,scale,6,0.788235294117647
218,0.1,rbf,auto,2,0.788235294117647
217,0.1,rbf,auto,1,0.788235294117647
219,0.1,rbf,auto,3,0.788235294117647
220,0.1,rbf,auto,4,0.788235294117647
221,0.1,rbf,auto,5,0.788235294117647
222,0.1,rbf,auto,6,0.788235294117647
223,0.1,rbf,auto,7,0.788235294117647
90,0.001,poly,scale,7,0.6941176470588235
89,0.001,poly,scale,6,0.6823529411764706
88,0.001,poly,scale,5,0.6470588235294118
49,0.0001,rbf,auto,1,0.5411764705882353
48,0.0001,rbf,scale,7,0.5411764705882353
72,0.001,sigmoid,scale,3,0.5411764705882353
71,0.001,sigmoid,scale,2,0.5411764705882353
55,0.0001,rbf,auto,7,0.5411764705882353
70,0.001,sigmoid,scale,1,0.5411764705882353
50,0.0001,rbf,auto,2,0.5411764705882353
167,0.01,rbf,auto,7,0.5411764705882353
46,0.0001,rbf,scale,5,0.5411764705882353
54,0.0001,rbf,auto,6,0.5411764705882353
53,0.0001,rbf,auto,5,0.5411764705882353
52,0.0001,rbf,auto,4,0.5411764705882353
